Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
2025_08_27 0725-9D PFC+NAc DAsensor day2,2025-08-28 21:09:29.147,,Media file,player #1:D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,0.0,1076.567,2028.600,30.000,No focal subject,0.0,f,Not defined,POINT,924.133,924.133,NA,D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,27724,27724,,,,
2025_08_27 0725-9D PFC+NAc DAsensor day2,2025-08-28 21:09:29.147,,Media file,player #1:D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,0.0,1076.567,2028.600,30.000,No focal subject,0.0,t,Not defined,POINT,976.700,976.700,NA,D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,29301,29301,,,,
2025_08_27 0725-9D PFC+NAc DAsensor day2,2025-08-28 21:09:29.147,,Media file,player #1:D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,0.0,1076.567,2028.600,30.000,No focal subject,0.0,q,Not defined,POINT,978.100,978.100,NA,D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,29343,29343,,,,
2025_08_27 0725-9D PFC+NAc DAsensor day2,2025-08-28 21:09:29.147,,Media file,player #1:D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,0.0,1076.567,2028.600,30.000,No focal subject,0.0,g,Not defined,POINT,978.900,978.900,NA,D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,29367,29367,,,,
2025_08_27 0725-9D PFC+NAc DAsensor day2,2025-08-28 21:09:29.147,,Media file,player #1:D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,0.0,1076.567,2028.600,30.000,No focal subject,0.0,v,Not defined,POINT,983.067,983.067,NA,D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,29492,29492,,,,
2025_08_27 0725-9D PFC+NAc DAsensor day2,2025-08-28 21:09:29.147,,Media file,player #1:D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,0.0,1076.567,2028.600,30.000,No focal subject,0.0,t,Not defined,POINT,1001.833,1001.833,NA,D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,30055,30055,,,,
2025_08_27 0725-9D PFC+NAc DAsensor day2,2025-08-28 21:09:29.147,,Media file,player #1:D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,0.0,1076.567,2028.600,30.000,No focal subject,0.0,i,Not defined,POINT,1004.933,1004.933,NA,D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,30148,30148,,,,
2025_08_27 0725-9D PFC+NAc DAsensor day2,2025-08-28 21:09:29.147,,Media file,player #1:D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,0.0,1076.567,2028.600,30.000,No focal subject,0.0,w,Not defined,POINT,1005.800,1005.800,NA,D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,30174,30174,,,,
2025_08_27 0725-9D PFC+NAc DAsensor day2,2025-08-28 21:09:29.147,,Media file,player #1:D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,0.0,1076.567,2028.600,30.000,No focal subject,0.0,c,Not defined,POINT,1017.633,1017.633,NA,D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,30529,30529,,,,
2025_08_27 0725-9D PFC+NAc DAsensor day2,2025-08-28 21:09:29.147,,Media file,player #1:D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,0.0,1076.567,2028.600,30.000,No focal subject,0.0,t,Not defined,POINT,1024.667,1024.667,NA,D:/2025_08_27 0725-9D PFC+NAc DAsensor day2/2025_08_26 0725-9D PFC+NAc DAsensor day2.mp4,30740,30740,,,,
