Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,f,Not defined,POINT,665.233,665.233,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,19957,19957,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,t,Not defined,POINT,673.000,673.000,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,20190,20190,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,q,Not defined,POINT,712.367,712.367,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,21371,21371,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,g,Not defined,POINT,713.900,713.900,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,21417,21417,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,v,Not defined,POINT,717.467,717.467,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,21524,21524,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,t,Not defined,POINT,746.300,746.300,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,22389,22389,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,i,Not defined,POINT,749.600,749.600,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,22488,22488,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,w,Not defined,POINT,752.367,752.367,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,22571,22571,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,c,Not defined,POINT,760.067,760.067,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,22802,22802,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,t,Not defined,POINT,764.167,764.167,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,22925,22925,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,q,Not defined,POINT,765.133,765.133,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,22954,22954,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,g,Not defined,POINT,765.833,765.833,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,22975,22975,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,v,Not defined,POINT,767.600,767.600,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,23028,23028,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,t,Not defined,POINT,791.467,791.467,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,23744,23744,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,q,Not defined,POINT,795.400,795.400,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,23862,23862,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,g,Not defined,POINT,796.500,796.500,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,23895,23895,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,v,Not defined,POINT,798.633,798.633,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,23959,23959,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,t,Not defined,POINT,813.933,813.933,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,24418,24418,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,q,Not defined,POINT,816.200,816.200,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,24486,24486,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,g,Not defined,POINT,817.967,817.967,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,24539,24539,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,v,Not defined,POINT,821.467,821.467,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,24644,24644,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,t,Not defined,POINT,834.733,834.733,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,25042,25042,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,q,Not defined,POINT,846.133,846.133,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,25384,25384,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,g,Not defined,POINT,846.967,846.967,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,25409,25409,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,v,Not defined,POINT,850.200,850.200,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,25506,25506,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,t,Not defined,POINT,872.500,872.500,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,26175,26175,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,i,Not defined,POINT,896.967,896.967,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,26909,26909,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,w,Not defined,POINT,897.933,897.933,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,26938,26938,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,c,Not defined,POINT,910.400,910.400,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,27312,27312,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,t,Not defined,POINT,913.400,913.400,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,27402,27402,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,q,Not defined,POINT,913.533,913.533,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,27406,27406,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,g,Not defined,POINT,914.600,914.600,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,27438,27438,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,v,Not defined,POINT,916.467,916.467,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,27494,27494,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,t,Not defined,POINT,925.400,925.400,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,27762,27762,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,i,Not defined,POINT,1053.133,1053.133,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,31594,31594,,,,
0725-11B PFC+NAc DAsensor day1,2025-08-28 09:54:27.841,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,0.0,1307.434,2173.600,30.000,No focal subject,0.0,w,Not defined,POINT,1054.400,1054.400,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11B PFC+NAc DAsensor day1/2025_08_26 0725-11B PFC+NAc DAsensor day1.mp4,31632,31632,,,,
