Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
2025_08_29 0725-11C PFC+NAc DAsensor day4,2025-08-29 19:05:37.370,,Media file,player #1:D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,0.0,647.334,1252.367,30.000,No focal subject,0.0,f,Not defined,POINT,585.233,585.233,NA,D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,17557,17557,,,,
2025_08_29 0725-11C PFC+NAc DAsensor day4,2025-08-29 19:05:37.370,,Media file,player #1:D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,0.0,647.334,1252.367,30.000,No focal subject,0.0,t,Not defined,POINT,592.933,592.933,NA,D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,17788,17788,,,,
2025_08_29 0725-11C PFC+NAc DAsensor day4,2025-08-29 19:05:37.370,,Media file,player #1:D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,0.0,647.334,1252.367,30.000,No focal subject,0.0,i,Not defined,POINT,598.833,598.833,NA,D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,17965,17965,,,,
2025_08_29 0725-11C PFC+NAc DAsensor day4,2025-08-29 19:05:37.370,,Media file,player #1:D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,0.0,647.334,1252.367,30.000,No focal subject,0.0,w,Not defined,POINT,599.767,599.767,NA,D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,17993,17993,,,,
2025_08_29 0725-11C PFC+NAc DAsensor day4,2025-08-29 19:05:37.370,,Media file,player #1:D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,0.0,647.334,1252.367,30.000,No focal subject,0.0,c,Not defined,POINT,605.867,605.867,NA,D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,18176,18176,,,,
2025_08_29 0725-11C PFC+NAc DAsensor day4,2025-08-29 19:05:37.370,,Media file,player #1:D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,0.0,647.334,1252.367,30.000,No focal subject,0.0,t,Not defined,POINT,614.300,614.300,NA,D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,18429,18429,,,,
2025_08_29 0725-11C PFC+NAc DAsensor day4,2025-08-29 19:05:37.370,,Media file,player #1:D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,0.0,647.334,1252.367,30.000,No focal subject,0.0,q,Not defined,POINT,615.667,615.667,NA,D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,18470,18470,,,,
2025_08_29 0725-11C PFC+NAc DAsensor day4,2025-08-29 19:05:37.370,,Media file,player #1:D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,0.0,647.334,1252.367,30.000,No focal subject,0.0,g,Not defined,POINT,617.033,617.033,NA,D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,18511,18511,,,,
2025_08_29 0725-11C PFC+NAc DAsensor day4,2025-08-29 19:05:37.370,,Media file,player #1:D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,0.0,647.334,1252.367,30.000,No focal subject,0.0,v,Not defined,POINT,624.667,624.667,NA,D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,18740,18740,,,,
2025_08_29 0725-11C PFC+NAc DAsensor day4,2025-08-29 19:05:37.370,,Media file,player #1:D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,0.0,647.334,1252.367,30.000,No focal subject,0.0,t,Not defined,POINT,636.100,636.100,NA,D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,19083,19083,,,,
2025_08_29 0725-11C PFC+NAc DAsensor day4,2025-08-29 19:05:37.370,,Media file,player #1:D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,0.0,647.334,1252.367,30.000,No focal subject,0.0,i,Not defined,POINT,636.733,636.733,NA,D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,19102,19102,,,,
2025_08_29 0725-11C PFC+NAc DAsensor day4,2025-08-29 19:05:37.370,,Media file,player #1:D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,0.0,647.334,1252.367,30.000,No focal subject,0.0,w,Not defined,POINT,637.567,637.567,NA,D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,19127,19127,,,,
2025_08_29 0725-11C PFC+NAc DAsensor day4,2025-08-29 19:05:37.370,,Media file,player #1:D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,0.0,647.334,1252.367,30.000,No focal subject,0.0,c,Not defined,POINT,643.033,643.033,NA,D:/2025_08_29 0725-11C PFC+NAc DAsensor day4/2025_08_29 0725-11C PFC+NAc DAsensor day4.mp4,19291,19291,,,,
