Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
0725-5A PFC+NAc DAsensor day1,2025-08-26 23:03:14.680,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,0.0,1614.067,2219.533,30.000,No focal subject,0.0,f,Not defined,POINT,554.233,554.233,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,16627,16627,,,,
0725-5A PFC+NAc DAsensor day1,2025-08-26 23:03:14.680,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,0.0,1614.067,2219.533,30.000,No focal subject,0.0,t,Not defined,POINT,571.133,571.133,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,17134,17134,,,,
0725-5A PFC+NAc DAsensor day1,2025-08-26 23:03:14.680,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,0.0,1614.067,2219.533,30.000,No focal subject,0.0,i,Not defined,POINT,582.300,582.300,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,17469,17469,,,,
0725-5A PFC+NAc DAsensor day1,2025-08-26 23:03:14.680,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,0.0,1614.067,2219.533,30.000,No focal subject,0.0,w,Not defined,POINT,583.933,583.933,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,17518,17518,,,,
0725-5A PFC+NAc DAsensor day1,2025-08-26 23:03:14.680,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,0.0,1614.067,2219.533,30.000,No focal subject,0.0,c,Not defined,POINT,590.267,590.267,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,17708,17708,,,,
0725-5A PFC+NAc DAsensor day1,2025-08-26 23:03:14.680,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,0.0,1614.067,2219.533,30.000,No focal subject,0.0,t,Not defined,POINT,594.433,594.433,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,17833,17833,,,,
0725-5A PFC+NAc DAsensor day1,2025-08-26 23:03:14.680,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,0.0,1614.067,2219.533,30.000,No focal subject,0.0,q,Not defined,POINT,612.500,612.500,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,18375,18375,,,,
0725-5A PFC+NAc DAsensor day1,2025-08-26 23:03:14.680,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,0.0,1614.067,2219.533,30.000,No focal subject,0.0,g,Not defined,POINT,613.933,613.933,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,18418,18418,,,,
0725-5A PFC+NAc DAsensor day1,2025-08-26 23:03:14.680,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,0.0,1614.067,2219.533,30.000,No focal subject,0.0,v,Not defined,POINT,617.633,617.633,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,18529,18529,,,,
0725-5A PFC+NAc DAsensor day1,2025-08-26 23:03:14.680,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,0.0,1614.067,2219.533,30.000,No focal subject,0.0,t,Not defined,POINT,702.700,702.700,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-5A PFC+NAc DAsensor day1/2025_08_26 0725-5A PFC+NAc DAsensor day1.mp4,21081,21081,,,,
