Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
0725-7C PFC+NAc DAsensor baseline,2025-08-29 23:28:42.192,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,0.0,1114.100,2111.967,30.000,No focal subject,0.0,f,Not defined,POINT,946.333,946.333,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,28390,28390,,,,
0725-7C PFC+NAc DAsensor baseline,2025-08-29 23:28:42.192,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,0.0,1114.100,2111.967,30.000,No focal subject,0.0,t,Not defined,POINT,958.900,958.900,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,28767,28767,,,,
0725-7C PFC+NAc DAsensor baseline,2025-08-29 23:28:42.192,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,0.0,1114.100,2111.967,30.000,No focal subject,0.0,q,Not defined,POINT,960.300,960.300,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,28809,28809,,,,
0725-7C PFC+NAc DAsensor baseline,2025-08-29 23:28:42.192,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,0.0,1114.100,2111.967,30.000,No focal subject,0.0,g,Not defined,POINT,963.433,963.433,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,28903,28903,,,,
0725-7C PFC+NAc DAsensor baseline,2025-08-29 23:28:42.192,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,0.0,1114.100,2111.967,30.000,No focal subject,0.0,v,Not defined,POINT,979.333,979.333,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,29380,29380,,,,
0725-7C PFC+NAc DAsensor baseline,2025-08-29 23:28:42.192,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,0.0,1114.100,2111.967,30.000,No focal subject,0.0,t,Not defined,POINT,994.833,994.833,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,29845,29845,,,,
0725-7C PFC+NAc DAsensor baseline,2025-08-29 23:28:42.192,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,0.0,1114.100,2111.967,30.000,No focal subject,0.0,q,Not defined,POINT,1004.600,1004.600,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,30138,30138,,,,
0725-7C PFC+NAc DAsensor baseline,2025-08-29 23:28:42.192,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,0.0,1114.100,2111.967,30.000,No focal subject,0.0,g,Not defined,POINT,1017.300,1017.300,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,30519,30519,,,,
0725-7C PFC+NAc DAsensor baseline,2025-08-29 23:28:42.192,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,0.0,1114.100,2111.967,30.000,No focal subject,0.0,c,Not defined,POINT,1091.300,1091.300,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,32739,32739,,,,
0725-7C PFC+NAc DAsensor baseline,2025-08-29 23:28:42.192,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,0.0,1114.100,2111.967,30.000,No focal subject,0.0,t,Not defined,POINT,1110.167,1110.167,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline/2025_08_25 0725-7C PFC+NAc DAsensor baseline.mp4,33305,33305,,,,
