Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,f,Not defined,POINT,949.733,949.733,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,28492,28492,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,t,Not defined,POINT,960.800,960.800,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,28824,28824,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,q,Not defined,POINT,962.400,962.400,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,28872,28872,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,g,Not defined,POINT,965.600,965.600,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,28968,28968,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,v,Not defined,POINT,979.867,979.867,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,29396,29396,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,t,Not defined,POINT,983.500,983.500,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,29505,29505,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,q,Not defined,POINT,1058.667,1058.667,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,31760,31760,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,g,Not defined,POINT,1059.500,1059.500,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,31785,31785,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,v,Not defined,POINT,1062.867,1062.867,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,31886,31886,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,t,Not defined,POINT,1068.433,1068.433,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,32053,32053,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,i,Not defined,POINT,1094.100,1094.100,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,32823,32823,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,w,Not defined,POINT,1101.433,1101.433,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,33043,33043,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,c,Not defined,POINT,1104.733,1104.733,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,33142,33142,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,t,Not defined,POINT,1109.267,1109.267,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,33278,33278,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,q,Not defined,POINT,1112.167,1112.167,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,33365,33365,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,g,Not defined,POINT,1113.067,1113.067,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,33392,33392,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,v,Not defined,POINT,1116.300,1116.300,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,33489,33489,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,t,Not defined,POINT,1124.833,1124.833,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,33745,33745,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,i,Not defined,POINT,1135.067,1135.067,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,34052,34052,,,,
0725-7D PFC+NAc DAsensor baseline,2025-08-29 23:48:54.831,,Media file,player #1:E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,0.0,776.634,1819.133,30.000,No focal subject,0.0,w,Not defined,POINT,1135.667,1135.667,NA,E:/DA sensor PFC +NAC/Baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline/2025_08_25 0725-7D PFC+NAc DAsensor baseline.mp4,34070,34070,,,,
